,RPM,Depth,Coolant,Tool_condition,Tool_size,Tool_No.
0,200,20,0,0,5,1
1,200,20,0,0,5,1
2,200,20,0,0,5,1
3,200,20,0,0,5,1
4,200,20,0,0,5,1
5,200,20,0,0,5,1
6,200,20,0,0,5,1
7,200,20,0,0,5,1
8,200,20,0,0,5,1
9,200,20,0,0,5,1
10,200,20,0,0,5,1
11,200,20,0,0,5,1
12,200,20,0,0,5,1
13,200,20,0,0,5,1
14,200,20,0,0,5,1
15,200,20,0,0,5,1
16,200,20,0,0,5,1
17,200,20,0,0,5,1
18,200,20,1,0,5,1
19,200,20,1,0,5,1
20,200,20,1,0,5,1
21,200,20,1,0,5,1
22,200,20,1,0,5,1
23,200,20,1,0,5,1
24,200,20,1,0,5,1
25,200,20,1,0,5,1
26,200,20,1,0,5,1
27,200,20,1,0,5,1
28,200,20,0,0,5,1
29,200,20,0,0,5,1
30,200,20,0,0,5,1
31,200,20,0,0,5,1
32,200,20,0,0,5,1
33,200,20,0,0,5,1
34,200,20,0,0,5,1
35,200,20,0,0,5,1
36,200,20,0,0,5,1
37,200,20,0,0,5,1
38,200,20,0,0,5,1
39,200,20,1,0,5,1
40,200,20,1,0,5,1
41,200,20,1,0,5,1
42,200,20,1,0,5,1
43,200,20,1,0,5,1
44,200,20,1,0,5,1
45,200,20,1,0,5,1
46,200,20,1,0,5,1
47,200,10,0,0,5,2
48,200,10,0,0,5,2
49,200,10,0,0,5,2
50,200,10,0,0,5,2
51,200,10,0,0,5,2
52,200,10,1,0,5,2
53,200,10,1,0,5,2
54,200,10,1,0,5,2
55,200,10,1,0,5,2
56,200,10,1,0,5,2
57,400,10,0,0,5,2
58,400,10,0,0,5,2
59,400,10,0,0,5,2
60,400,10,0,0,5,2
61,400,10,0,0,5,2
62,400,10,1,0,5,2
63,400,10,1,0,5,2
64,400,10,1,0,5,2
65,400,10,1,0,5,2
66,400,10,1,0,5,2
67,200,20,0,0,5,2
68,200,20,0,0,5,2
69,200,20,0,0,5,2
70,200,20,0,0,5,2
71,200,20,0,0,5,2
72,200,20,0,0,5,2
73,200,20,0,0,5,2
74,200,20,0,0,5,2
75,200,20,0,0,5,2
76,200,20,0,0,5,2
77,200,20,0,0,5,2
78,200,20,0,0,5,2
79,200,20,0,0,5,2
80,200,20,0,0,5,2
81,200,20,0,0,5,2
82,200,20,0,0,5,2
83,200,20,0,0,5,2
84,200,20,0,0,5,2
85,200,20,1,0,5,2
86,200,20,1,0,5,2
87,200,20,1,0,5,2
88,200,20,1,0,5,2
89,200,20,1,0,5,2
90,200,20,1,0,5,2
91,200,20,1,0,5,2
92,200,20,1,0,5,2
93,200,20,1,0,5,2
94,200,20,1,0,5,2
95,200,20,1,0,5,2
96,200,20,1,0,5,2
97,200,20,1,0,5,2
98,200,20,1,0,5,2
99,200,20,0,0,5,3
100,200,20,0,0,5,3
101,200,20,0,0,5,3
102,200,20,0,0,5,3
103,200,20,0,0,5,3
104,200,20,0,0,5,3
105,200,20,0,0,5,3
106,200,20,0,0,5,3
107,200,20,0,0,5,3
108,200,20,0,0,5,3
109,200,20,0,0,5,3
110,200,20,0,0,5,3
111,200,20,0,0,5,3
112,200,20,0,0,5,3
113,200,20,0,0,5,3
114,200,20,0,0,5,3
115,200,20,0,0,5,3
116,200,20,0,0,5,3
117,200,20,0,0,5,3
118,200,20,0,0,5,3
119,200,20,0,0,5,3
120,200,20,0,0,5,3
121,200,20,0,0,5,3
122,200,20,0,0,5,3
123,300,20,0,0,5,3
124,300,20,0,0,5,3
125,300,20,0,0,5,3
126,300,20,0,0,5,3
127,300,20,0,0,5,3
128,300,20,0,0,5,3
129,300,20,0,0,5,3
130,300,20,0,0,5,3
131,300,20,0,0,5,3
132,300,20,0,0,5,3
133,300,20,0,0,5,3
134,300,20,0,0,5,3
135,300,20,0,0,5,3
136,300,20,0,0,5,3
137,300,20,0,0,5,3
138,300,20,0,0,5,3
139,300,20,0,0,5,3
140,300,20,0,0,5,3
141,300,20,0,0,5,3
142,300,20,0,0,5,3
143,300,20,0,0,5,3
144,300,20,0,0,5,3
145,300,20,0,0,5,3
146,300,20,0,0,5,3
147,200,12,0,0,5,3
148,200,12,0,0,5,3
149,200,12,0,0,5,3
150,200,12,0,0,5,3
151,200,12,0,0,5,3
152,200,12,0,0,5,3
153,200,12,0,0,5,3
154,200,12,0,0,5,3
155,200,12,0,0,5,3
156,200,12,0,0,5,3
157,200,12,0,0,5,3
158,200,12,0,0,5,3
159,200,8,0,0,5,3
160,200,8,0,0,5,3
161,200,8,0,0,5,3
162,200,8,0,0,5,3
163,200,8,0,0,5,3
164,200,8,0,0,5,3
165,200,8,0,0,5,3
166,200,8,0,0,5,3
167,200,8,0,0,5,3
168,200,20,0,0,5,4
169,200,20,0,0,5,4
170,200,20,0,0,5,4
171,200,20,0,0,5,4
172,200,20,0,0,5,4
173,200,20,0,0,5,4
174,200,20,0,0,5,4
175,200,20,0,0,5,4
176,200,20,0,0,5,4
177,200,20,0,0,5,4
178,200,20,0,0,5,4
179,200,20,0,0,5,4
180,200,20,0,0,5,4
181,200,20,0,0,5,4
182,200,20,0,0,5,4
183,200,20,0,0,5,4
184,200,20,0,0,5,4
185,200,20,0,0,5,4
186,200,20,0,0,5,4
187,200,20,0,0,5,4
188,300,20,0,0,5,4
189,300,20,0,0,5,4
190,300,20,0,0,5,4
191,300,20,0,0,5,4
192,300,20,0,0,5,4
193,300,20,0,0,5,4
194,300,20,0,0,5,4
195,300,20,0,0,5,4
196,300,20,0,0,5,4
197,300,20,0,0,5,4
198,300,20,0,0,5,4
199,300,20,0,0,5,4
200,300,20,0,0,5,4
201,300,20,0,0,5,4
202,300,20,0,0,5,4
203,300,20,0,0,5,4
204,300,20,0,0,5,4
205,300,20,0,0,5,4
206,300,20,0,0,5,4
207,300,20,0,0,5,4
208,400,20,0,0,5,4
209,400,20,0,0,5,4
210,400,20,0,0,5,4
211,400,20,0,0,5,4
212,400,20,0,0,5,4
213,400,20,0,0,5,4
214,400,20,0,0,5,4
215,400,20,0,0,5,4
216,400,20,0,0,5,4
217,400,20,0,0,5,4
218,400,20,0,0,5,4
219,400,20,0,0,5,4
220,400,20,0,0,5,4
221,400,20,0,0,5,4
222,400,20,0,0,5,4
223,400,20,0,0,5,4
224,400,20,0,0,5,4
225,400,20,0,0,5,4
226,400,20,0,0,5,4
227,400,20,0,0,5,4
228,500,20,0,0,5,4
229,500,20,0,0,5,4
230,500,20,0,0,5,4
231,500,20,0,0,5,4
232,500,20,0,0,5,4
233,500,20,0,0,5,4
234,500,20,0,0,5,4
235,500,20,0,0,5,4
236,500,20,0,0,5,4
237,500,20,0,0,5,4
238,500,20,0,0,5,4
239,500,20,0,0,5,4
240,500,20,0,0,5,4
241,500,20,0,0,5,4
242,500,20,0,0,5,4
243,500,20,0,0,5,4
244,500,20,0,0,5,4
245,500,20,0,0,5,4
246,500,20,0,0,5,4
247,500,20,0,0,5,4
248,200,10,0,0,5,4
249,200,10,0,0,5,4
250,200,10,0,0,5,4
251,200,10,0,0,5,4
252,200,10,0,0,5,4
253,200,10,0,0,5,4
254,200,10,0,0,5,4
255,200,10,0,0,5,4
256,200,10,0,0,5,4
257,200,10,0,0,5,4
258,300,10,0,0,5,4
259,300,10,0,0,5,4
260,300,10,0,0,5,4
261,300,10,0,0,5,4
262,300,10,0,0,5,4
263,300,10,0,0,5,4
264,300,10,0,0,5,4
265,300,10,0,0,5,4
266,300,10,0,0,5,4
267,300,10,0,0,5,4
268,400,10,0,0,5,4
269,400,10,0,0,5,4
270,400,10,0,0,5,4
271,400,10,0,0,5,4
272,400,10,0,0,5,4
273,400,10,0,0,5,4
274,400,10,0,0,5,4
275,400,10,0,0,5,4
276,400,10,0,0,5,4
277,500,10,0,0,5,4
278,500,10,0,0,5,4
279,500,10,0,0,5,4
280,500,10,0,0,5,4
281,500,10,0,0,5,4
282,500,10,0,0,5,4
283,500,10,0,0,5,4
284,500,10,0,0,5,4
285,500,10,0,0,5,4
286,500,10,0,0,5,4
287,300,20,0,1,5,5
288,300,20,0,1,5,5
289,300,20,0,1,5,5
290,300,20,0,1,5,5
291,300,20,0,1,5,5
292,300,20,0,1,5,5
293,300,20,0,1,5,5
294,300,20,0,1,5,5
295,300,20,0,1,5,5
296,300,20,0,1,5,5
297,300,20,0,1,5,5
298,400,20,0,1,5,5
299,400,20,0,1,5,5
300,400,20,0,1,5,5
301,400,20,0,1,5,5
302,400,20,0,1,5,5
303,400,20,0,1,5,5
304,400,20,0,1,5,5
305,400,20,0,1,5,5
306,400,20,0,1,5,5
307,200,12,0,1,5,5
308,200,12,0,1,5,5
309,200,12,0,1,5,5
310,200,12,0,1,5,5
311,200,12,0,1,5,5
312,200,12,0,1,5,5
313,200,12,0,1,5,5
314,200,12,0,1,5,5
315,200,12,0,1,5,5
316,200,12,0,1,5,5
317,200,12,0,1,5,5
318,200,12,0,1,5,5
319,200,12,0,1,5,5
320,200,12,0,1,5,5
321,200,12,0,1,5,5
322,200,12,0,1,5,5
323,200,12,0,1,5,5
324,200,12,0,1,5,5
325,200,12,0,1,5,5
326,200,12,0,1,5,5
327,200,12,0,1,5,5
328,200,12,0,1,5,5
329,300,12,0,1,5,5
330,300,12,0,1,5,5
331,300,12,0,1,5,5
332,300,12,0,1,5,5
333,300,12,0,1,5,5
334,300,12,0,1,5,5
335,300,12,0,1,5,5
336,300,12,0,1,5,5
337,300,12,0,1,5,5
338,300,12,0,1,5,5
339,300,12,0,1,5,5
340,300,12,0,1,5,5
341,300,12,0,1,5,5
342,300,12,0,1,5,5
343,300,12,0,1,5,5
344,300,12,0,1,5,5
345,300,12,0,1,5,5
346,300,12,0,1,5,5
347,300,12,0,1,5,5
348,300,12,0,1,5,5
349,300,12,0,1,5,5
350,300,12,0,1,5,5
351,400,12,0,1,5,5
352,400,12,0,1,5,5
353,400,12,0,1,5,5
354,400,12,0,1,5,5
355,400,12,0,1,5,5
356,400,12,0,1,5,5
357,400,12,0,1,5,5
358,400,12,0,1,5,5
359,400,12,0,1,5,5
360,400,12,0,1,5,5
361,400,12,0,1,5,5
362,400,12,0,1,5,5
363,400,12,0,1,5,5
364,400,12,0,1,5,5
365,400,12,0,1,5,5
366,400,12,0,1,5,5
367,400,12,0,1,5,5
368,400,12,0,1,5,5
369,400,12,0,1,5,5
370,400,12,0,1,5,5
371,400,12,0,1,5,5
372,500,12,0,1,5,5
373,500,12,0,1,5,5
374,500,12,0,1,5,5
375,500,12,0,1,5,5
376,500,12,0,1,5,5
377,500,12,0,1,5,5
378,500,12,0,1,5,5
379,500,12,0,1,5,5
380,500,12,0,1,5,5
381,500,12,0,1,5,5
382,500,12,0,1,5,5
383,500,12,0,1,5,5
384,500,12,0,1,5,5
385,500,12,0,1,5,5
386,500,12,0,1,5,5
387,500,12,0,1,5,5
388,200,20,0,1,5,6
389,200,20,0,1,5,6
390,200,20,0,1,5,6
391,200,20,0,1,5,6
392,200,20,0,1,5,6
393,200,20,0,1,5,6
394,200,20,0,1,5,6
395,200,20,0,1,5,6
396,200,20,0,1,5,6
397,200,20,0,1,5,6
398,200,20,0,1,5,6
399,200,20,0,1,5,6
400,200,20,0,1,5,6
401,200,20,0,1,5,6
402,200,20,0,1,5,6
403,200,20,0,1,5,6
404,200,20,0,1,5,6
405,200,20,0,1,5,6
406,200,20,0,1,5,6
407,200,20,0,1,5,6
408,200,20,0,1,5,6
409,200,20,0,1,5,6
410,200,20,0,1,5,6
411,200,20,0,1,5,6
412,300,20,0,1,5,6
413,300,20,0,1,5,6
414,300,20,0,1,5,6
415,300,20,0,1,5,6
416,300,20,0,1,5,6
417,300,20,0,1,5,6
418,300,20,0,1,5,6
419,300,20,0,1,5,6
420,300,20,0,1,5,6
421,300,20,0,1,5,6
422,300,20,0,1,5,6
423,300,20,0,1,5,6
424,300,20,0,1,5,6
425,300,20,0,1,5,6
426,300,20,0,1,5,6
427,300,20,0,1,5,6
428,300,20,0,1,5,6
429,300,20,0,1,5,6
430,300,20,0,1,5,6
431,300,20,0,1,5,6
432,300,20,0,1,5,6
433,300,20,0,1,5,6
434,300,20,0,1,5,6
435,300,20,0,1,5,6
436,200,12,0,1,5,6
437,200,12,0,1,5,6
438,200,12,0,1,5,6
439,200,12,0,1,5,6
440,200,12,0,1,5,6
441,200,12,0,1,5,6
442,200,12,0,1,5,6
443,200,12,0,1,5,6
444,200,12,0,1,5,6
445,200,12,0,1,5,6
446,200,12,0,1,5,6
447,200,12,0,1,5,6
448,200,8,0,1,5,6
449,200,8,0,1,5,6
450,200,8,0,1,5,6
451,200,8,0,1,5,6
452,200,8,0,1,5,6
453,200,8,0,1,5,6
454,200,8,0,1,5,6
455,200,8,0,1,5,6
456,200,8,0,1,5,6
457,200,8,0,1,5,6
458,200,8,0,1,5,6
459,200,8,0,1,5,6
460,200,10,0,1,5,7
461,200,10,0,1,5,7
462,200,10,0,1,5,7
463,200,10,0,1,5,7
464,200,10,0,1,5,7
465,200,10,0,1,5,7
466,200,10,0,1,5,7
467,200,10,0,1,5,7
468,200,10,0,1,5,7
469,200,10,1,1,5,7
470,200,10,1,1,5,7
471,200,10,1,1,5,7
472,200,10,1,1,5,7
473,200,10,1,1,5,7
474,200,10,0,1,5,7
475,200,10,0,1,5,7
476,200,10,0,1,5,7
477,200,10,0,1,5,7
478,200,10,0,1,5,7
479,200,10,1,1,5,7
480,200,10,1,1,5,7
481,200,10,1,1,5,7
482,200,10,1,1,5,7
483,200,10,1,1,5,7
484,400,10,0,1,5,7
485,400,10,0,1,5,7
486,400,10,0,1,5,7
487,400,10,0,1,5,7
488,400,10,0,1,5,7
489,400,10,1,1,5,7
490,400,10,1,1,5,7
491,400,10,1,1,5,7
492,400,10,1,1,5,7
493,400,10,1,1,5,7
494,200,20,0,1,5,7
495,200,20,0,1,5,7
496,200,20,0,1,5,7
497,200,20,0,1,5,7
498,200,20,0,1,5,7
499,200,20,0,1,5,7
500,200,20,0,1,5,7
501,200,20,0,1,5,7
502,200,20,0,1,5,7
503,200,20,0,1,5,7
504,200,20,0,1,5,7
505,200,20,0,1,5,7
506,200,20,0,1,5,7
507,200,20,0,1,5,7
508,200,20,0,1,5,7
509,200,20,0,1,5,7
510,200,20,0,1,5,7
511,200,20,0,1,5,7
512,200,20,0,1,5,7
513,200,20,0,1,5,7
514,200,20,0,1,5,7
515,200,20,0,1,5,7
516,200,20,0,1,5,7
517,200,20,0,1,5,7
518,200,20,0,1,5,7
519,200,20,0,1,5,7
520,200,20,0,1,5,7
521,200,20,1,1,5,7
522,200,20,1,1,5,7
523,200,20,1,1,5,7
524,200,20,1,1,5,7
525,200,20,1,1,5,7
526,200,20,1,1,5,7
527,200,20,1,1,5,7
528,200,20,1,1,5,7
529,200,20,1,1,5,7
530,200,20,1,1,5,7
531,200,20,1,1,5,7
532,200,20,1,1,5,7
533,200,20,1,1,5,7
534,200,20,1,1,5,7
535,200,20,1,1,5,7
536,200,20,1,1,5,7
537,200,20,1,1,5,7
538,200,20,1,1,5,7
539,200,20,1,1,5,7
540,200,20,1,1,5,7
541,200,20,1,1,5,7
542,200,20,0,1,5,8
543,200,20,0,1,5,8
544,200,20,0,1,5,8
545,200,20,0,1,5,8
546,200,20,0,1,5,8
547,200,20,0,1,5,8
548,200,20,0,1,5,8
549,200,20,0,1,5,8
550,200,20,0,1,5,8
551,200,20,0,1,5,8
552,200,20,0,1,5,8
553,200,20,1,1,5,8
554,200,20,1,1,5,8
555,200,20,1,1,5,8
556,200,20,1,1,5,8
557,200,20,1,1,5,8
558,200,20,1,1,5,8
559,200,20,1,1,5,8
560,200,20,1,1,5,8
561,200,20,1,1,5,8
562,200,20,1,1,5,8
563,200,20,1,1,5,8
564,200,20,0,1,5,8
565,200,20,0,1,5,8
566,200,20,0,1,5,8
567,200,20,0,1,5,8
568,200,20,0,1,5,8
569,200,20,0,1,5,8
570,200,20,0,1,5,8
571,200,20,0,1,5,8
572,200,20,0,1,5,8
573,200,20,0,1,5,8
574,200,20,0,1,5,8
575,200,20,0,1,5,8
576,200,20,1,1,5,8
577,200,20,1,1,5,8
578,200,20,1,1,5,8
579,200,20,1,1,5,8
580,200,20,1,1,5,8
581,200,20,1,1,5,8
582,200,20,1,1,5,8
583,200,20,1,1,5,8
584,200,20,1,1,5,8
585,200,20,1,1,5,8
586,300,20,0,1,5,8
587,300,20,0,1,5,8
588,300,20,0,1,5,8
589,300,20,0,1,5,8
590,300,20,0,1,5,8
591,300,20,0,1,5,8
592,300,20,0,1,5,8
593,300,20,0,1,5,8
594,300,20,1,1,5,8
595,300,20,1,1,5,8
596,300,20,1,1,5,8
597,300,20,1,1,5,8
598,300,20,1,1,5,8
599,300,20,1,1,5,8
600,300,20,1,1,5,8
601,300,20,1,1,5,8
602,300,20,1,1,5,8
603,300,20,1,1,5,8
604,300,20,1,1,5,8
605,300,20,1,1,5,8
606,300,20,1,1,5,8
607,300,20,1,1,5,8
608,400,20,0,1,5,8
609,400,20,0,1,5,8
610,400,20,0,1,5,8
611,400,20,0,1,5,8
612,400,20,0,1,5,8
613,400,20,0,1,5,8
614,400,20,0,1,5,8
615,400,20,0,1,5,8
616,400,20,0,1,5,8
617,400,20,0,1,5,8
618,400,20,1,1,5,8
619,400,20,1,1,5,8
620,400,20,1,1,5,8
621,400,20,1,1,5,8
622,400,20,1,1,5,8
623,400,20,1,1,5,8
624,400,20,1,1,5,8
625,400,20,1,1,5,8
626,400,20,1,1,5,8
627,400,20,1,1,5,8
628,400,20,1,1,5,8
629,200,12,0,1,5,8
630,200,12,0,1,5,8
631,200,12,0,1,5,8
632,200,12,0,1,5,8
633,200,12,0,1,5,8
634,200,12,0,1,5,8
635,200,12,0,1,5,8
636,200,12,0,1,5,8
637,200,12,0,1,5,8
638,200,12,0,1,5,8
639,200,12,0,1,5,8
640,200,12,0,1,5,8
641,200,12,0,1,5,8
642,200,12,0,1,5,8
643,200,12,0,1,5,8
644,200,12,0,1,5,8
645,200,12,0,1,5,8
646,200,12,0,1,5,8
647,200,12,0,1,5,8
648,200,12,0,1,5,8
649,200,12,0,1,5,8
650,200,12,0,1,5,8
651,300,12,0,1,5,8
652,300,12,0,1,5,8
653,300,12,0,1,5,8
654,300,12,0,1,5,8
655,300,12,0,1,5,8
656,300,12,0,1,5,8
657,300,12,0,1,5,8
658,300,12,0,1,5,8
659,300,12,0,1,5,8
660,300,12,0,1,5,8
661,300,12,0,1,5,8
662,300,12,0,1,5,8
663,200,12,0,1,5,9
664,200,12,0,1,5,9
665,200,12,0,1,5,9
666,200,12,0,1,5,9
667,200,12,0,1,5,9
668,200,12,0,1,5,9
669,200,12,0,1,5,9
670,200,12,0,1,5,9
671,200,12,0,1,5,9
672,200,12,0,1,5,9
673,200,12,0,1,5,9
674,200,12,0,1,5,9
675,200,12,0,1,5,9
676,200,12,0,1,5,9
677,200,12,0,1,5,9
678,200,12,0,1,5,9
679,200,12,0,1,5,9
680,200,12,0,1,5,9
681,200,12,0,1,5,9
682,200,12,0,1,5,9
683,200,12,0,1,5,9
684,200,12,0,1,5,9
685,200,12,0,1,5,9
686,200,12,0,1,5,9
687,200,20,0,0,4,10
688,200,20,0,0,4,10
689,200,20,0,0,4,10
690,200,20,0,0,4,10
691,200,20,0,0,4,10
692,200,20,0,0,4,10
693,200,20,0,0,4,10
694,200,20,0,0,4,10
695,200,20,0,0,4,10
696,200,20,0,0,4,10
697,300,20,0,0,4,10
698,300,20,0,0,4,10
699,300,20,0,0,4,10
700,300,20,0,0,4,10
701,300,20,0,0,4,10
702,300,20,0,0,4,10
703,300,20,0,0,4,10
704,300,20,0,0,4,10
705,300,20,0,0,4,10
706,300,20,0,0,4,10
707,400,20,0,0,4,10
708,400,20,0,0,4,10
709,400,20,0,0,4,10
710,400,20,0,0,4,10
711,400,20,0,0,4,10
712,400,20,0,0,4,10
713,400,20,0,0,4,10
714,400,20,0,0,4,10
715,400,20,0,0,4,10
716,400,20,0,0,4,10
717,500,20,0,0,4,10
718,500,20,0,0,4,10
719,500,20,0,0,4,10
720,500,20,0,0,4,10
721,500,20,0,0,4,10
722,500,20,0,0,4,10
723,500,20,0,0,4,10
724,500,20,0,0,4,10
725,500,20,0,0,4,10
726,500,20,0,0,4,10
727,200,20,0,0,4,11
728,200,20,0,0,4,11
729,200,20,0,0,4,11
730,200,20,0,0,4,11
731,200,20,0,0,4,11
732,200,20,0,0,4,11
733,200,20,0,0,4,11
734,200,20,0,0,4,11
735,200,20,0,0,4,11
736,200,20,0,0,4,11
737,300,20,0,0,4,11
738,300,20,0,0,4,11
739,300,20,0,0,4,11
740,300,20,0,0,4,11
741,300,20,0,0,4,11
742,300,20,0,0,4,11
743,300,20,0,0,4,11
744,300,20,0,0,4,11
745,300,20,0,0,4,11
746,300,20,0,0,4,11
747,200,12,0,0,4,11
748,200,12,0,0,4,11
749,200,12,0,0,4,11
750,200,12,0,0,4,11
751,200,12,0,0,4,11
752,200,12,0,0,4,11
753,200,12,0,0,4,11
754,200,12,0,0,4,11
755,200,12,0,0,4,11
756,200,12,0,0,4,11
757,300,12,0,0,4,11
758,300,12,0,0,4,11
759,300,12,0,0,4,11
760,300,12,0,0,4,11
761,300,12,0,0,4,11
762,300,12,0,0,4,11
763,300,12,0,0,4,11
764,300,12,0,0,4,11
765,300,12,0,0,4,11
766,300,12,0,0,4,11
767,400,12,0,0,4,11
768,400,12,0,0,4,11
769,400,12,0,0,4,11
770,400,12,0,0,4,11
771,400,12,0,0,4,11
772,400,12,0,0,4,11
773,400,12,0,0,4,11
774,400,12,0,0,4,11
775,400,12,0,0,4,11
776,400,12,0,0,4,11
777,200,12,0,1,4,12
778,200,12,0,1,4,12
779,200,12,0,1,4,12
780,200,12,0,1,4,12
781,200,12,0,1,4,12
782,200,12,0,1,4,12
783,200,12,0,1,4,12
784,200,12,0,1,4,12
785,200,12,0,1,4,12
786,300,12,0,1,4,12
787,300,12,0,1,4,12
788,300,12,0,1,4,12
789,300,12,0,1,4,12
790,300,12,0,1,4,12
791,300,12,0,1,4,12
792,300,12,0,1,4,12
793,300,12,0,1,4,12
794,300,12,0,1,4,12
795,300,12,0,1,4,12
796,300,12,0,1,4,12
797,400,12,0,1,4,12
798,400,12,0,1,4,12
799,400,12,0,1,4,12
